1.38649368284023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00337445249180161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.33467632220955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08630521092903,24418.1978421338,4.08630521092903,0.0364276507317091,4.08630521092903,4.08630521092903,0.000453675263000742,2.88910947543802e-09,0,24418.1978421338,0,24417.6714300734,24418.1978421338,5.0769332543372e-06,0,3.55087436023034e-06,4.08630521092903,0,0.00147742233210827,2.22787602726812e-09,0,0,2.16948632840557e-06,2.34707215137305e-06,0,4.02868227780144,24418.1978421338,4.65125029844243e-06,0.00102342391125921,4.08630521092903,0
0,0,0,0,1.45586228840163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00178296973608738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,110.697881915104,0.0262332728525261,110.697881915104,0,0.0790153477605686,0,1731.59000357095,0.000113430357735894,0.000631404850088629,0,0,0,110.185733626184,0.000113430357735137,110.697881915104,0.00302850363415458,0.000586528626546268,0,2.81007661482107e-08,0.00011281159328478,0.00780346956830504,0.000447799136768413,0,0,0,0.0823180359670864,0.0286310077243301,110.697881915104,0
138757.184568402,138756.657507882,138757.184568402,4.07217376356121e-05,138757.184568402,138757.184568402,0,0.000528046807856161,0,138757.184568401,0,138757.184568401,138757.184568401,0.00113290693690788,0,0.000116440572286632,138757.184568402,0,0,0.00200736306857914,0,0,0.000137804506810745,0.000126954618061517,0,138756.657507883,138757.184568402,0.000138421086545867,0,138757.711632124,5.28336056686378e-05
0,0,0,0,0,0,0,0,1.35238753977098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4.57604879143442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1396.91199113614,0,1374.30950959715,0,0.00171278854074382,0,1396.91199113614,0.000500427389182268,0.0817728160391729,0,0,0,1392.340515303,0.000500427389183139,1396.91199113614,0.0194645809409529,0.00175527937866807,0,3.56908626566755e-07,0.000496050767834716,0,0.00234026656390296,0,0,0,0.2784060249859,0.110243230935466,1396.91199113613,0
0,0,0,0,0,0,0,0,0,0,0,0.00358795083520664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0148586577433143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118948.459778084,4950200.26359505,118948.459778084,0.0333826064479846,118948.459778084,118948.459778084,0,0.000275531336145721,0,4950196.22013281,0,4950200.26359505,4950200.26359505,0.00508733334147334,0,0.0366295469144277,118948.459778085,0,0,7.40806630456206e-05,0,0,0.0218777332476356,0.0145421482710123,0,118948.459778085,4950200.26359505,0.0268574553739732,0,118948.459778085,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347122567662104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10873617.5693571,54414373.0503696,10874133.9379073,0.00362178024618115,10874133.9379073,50796.4713602572,0.0346697369243114,0.000226453955929096,10408859.8371135,54413163.582544,0.0346697369243258,26360425.2193127,26360425.2193127,0.0231634620861745,10408859.8371135,0.185533891432539,10874133.9379073,0,0.0346697369232732,0.022110370306129,0,0.034669736923275,0.0103677950917719,0.00212211136803293,0,50796.4713602577,54414373.0503697,0.00658397130794466,0,10874133.9379073,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36778534736923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2843.01289915533,0,2845.15161641004,0,0.0297334299185369,0,34390.3183300915,0,0.0335898110671061,0,0.0356035761696913,0,2845.15161641004,0,2845.15161641004,0.0234851558836754,0.0340989394393878,0,8.39174160676192e-07,5.4501086283244e-07,0.0425902358567564,0.00677745487458997,0,0,0,0,0.0220841348198381,2845.15161641004,0
0,0,82.1892970577936,0.207484136284277,82.1892970577936,0,0.000873063068726758,0,550.502888312452,0.000491957771388511,0.000756475309112554,0,0,0,82.1892970577936,0.000491957771387325,82.1892970577936,0.0166428899624131,0.0537218626942892,0,2.12022631197834e-08,0.000491229093413,0.00391360498695079,0.000511993074453686,0,0,0,0,0.0212152045058452,82.1892970577936,0
1971524.99480231,1971524.99480231,1971524.99480231,1.17573477579692e-05,1971524.99480231,80246.4200020911,0,0.000129753090679253,2214608.06331936,1971524.99480231,0,80246.4200020909,80246.4200020909,6.93436058533186e-05,2214614.4729769,0.0176354806153888,1971524.99480231,0,0,0.00622750866221199,0,0,0.0108602815723562,1.16942981254491e-05,0,80246.4200020914,1971524.9948023,0.013185017306264,0,1971524.9948023,0
0,0,92.5653272374741,0,92.5653272374741,0,1.81756749182608e-08,0,92.2178544139474,0,3.1357203441748e-08,0,0,0,92.3242461406544,0,92.5653272374741,4.83341751242038e-08,2.448229616137e-08,0,0.0263890866481816,0.074172634559215,0,9.89178642829131e-05,0,0,0,0,1.46382566342892e-08,92.5653272374741,0
0,0,265.227388099522,0,265.227388099522,0,4.07684616196514e-05,0,264.313492819871,4.13243547274644e-05,4.06340305570678e-05,0,0,0,264.324291711483,4.13243547276656e-05,265.227388099522,1.33955911449567e-07,4.07039859531121e-05,0,0.168396787827215,0.160241321267793,0,0.000260946233212508,0,0,0,0,4.58009308701533e-08,265.227388099522,0
3835.54794025352,9216.68806343866,3835.5937879985,3.16660230570526e-07,3835.5937879985,3.91825019691559,0.000185604964581193,1.83297891968185e-08,28846.0886264764,9216.68806343866,0,2505.7191632498,2505.9008957022,5.73336383393476e-07,3792.62271166446,5.40504018128333e-06,3835.5937879985,0.000215369901818374,1.44407612936487e-05,7.00148244061541e-07,0,0,0.0468406903441986,1.81076758761547e-07,0,3.87974568482815,9216.68806343866,1.21550203377649e-06,5.44955924658466e-05,3835.5937879985,0
46.3875715655051,8066.05221854263,5224.92704839247,2.10666792863195e-06,5224.92704839247,46.3875715655051,1.22090607478635e-05,2.66871563967881e-08,6174.07174005323,8066.05221854262,1.99383107564527e-05,8066.05221854262,8066.05221854262,8.3514896658545e-06,6174.07174005324,2.65330660797495e-06,5224.92704839248,2.81740164185021e-05,2.05603895263397e-06,3.05884951881119e-08,1.59784008210114e-05,1.1959289096739e-05,9.84643481058888e-07,0.0142899166859537,0,46.387571565505,8066.05221854262,1.15108910166544e-06,9.45954959843005e-06,5224.92704839248,0
0.986686412299089,0,0.986686412299089,0,0.986686412299089,0,0,0,0.986686412299089,0.986686412299089,0,0,0,0,0.246671603074571,0,0.986686412299089,0,0,0,0,0,0,0,0.000398443912738478,0,0,0,0,0.986686412299089,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003360217496217,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273124717860375,0,0,0,0
