0,0,0,0,0,0,0,0,0,0,0,0.0821191945651829,0,0,0,0,0,0,0.013801481388889,0,0,0,0,0,0,0,0,0,0,0.0449930580661437
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0645858261408179,0,0,0,0,0,0,0,0.0273396660415891,0,0,0,0,0.0758383843341128,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.121836925507162,0,0,0,0,0,0,0.0202898860974655,0,0,0,0,0,0,0,0,0,0,0
0.00030022506471567,0,0,0,0.00124081803503085,0,0,0.0207378395353043,0.0173927488891977,0.00228623778455342,0.000621395106542504,0,0,0,0,0.00875328779890905,0,0.0186582088028356,0,0,0,0,0,0,0,0.049171946192081,0.00195549455457925,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.03393457191452,0.0051378320895742,0,0,0,0,0,0.00552242817010968,0.0123082960573679,0,0,0.101955045686041,0.00339139324233385,0,0,0,0,0,0.0186045820152751
0,0,0,0,0,0,0,0,0,0,0,0,0.010858539662045,0,0,0,0,0,0,0.0252988207278163,0,0,0.209875826100962,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0657564063370958,0,0,0,0,0,0,0,0,0,0,0,0,0.0774031368062828,0,0,0.00831496855171093,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0821191945651829,0,0,0,0,0,0,0.013801481388889,0,0,0,0,0,0,0,0,0,0,0.0449930580661437
0,0,0,0,0,0,0,0,0,0,0,0.0821191945651829,0,0,0,0,0,0,0.013801481388889,0,0,0,0,0,0,0,0,0,0,0.0449930580661437
1.53922535379457e-05,0,0.0433221752939481,0.0403296370696168,6.47937420755821e-05,0,0,0,0.000967007847768146,0.000113641549191401,3.21132579452021e-05,0,0,0,0.768256638288136,0,0,0.000932824032679338,0,0,0,0.0411870108370132,0,0,0,0.00235250026130438,0.00010131510121638,0,0.0400986567439231,0
0,0,0,0,0,0,0,0.0988644010541292,0,0,0,0,0,0,0,0.0422481457709686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118096585674718,0,0,0.0127782549320834,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0068932770345558,0,0,0,0,0,0,0.0163375664865022,0.0430505276396809,0,0.136272903870903,0.00459044221274872,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.121836925507162,0,0,0,0,0,0,0.0202898860974655,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00864813903450565,0,0,0,0,0,0,0.0203757207564762,0,0,0.16914581137626,0.00571503865359661,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0068932770345558,0,0,0,0,0,0,0.0163375664865022,0.0430505276396809,0,0.136272903870903,0.00459044221274872,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130540462808802
0.000425670006967675,0,0,0,0.00176261398008859,0,0,0,0.0247765777412246,0.00322505936589755,0.000882876094010063,0,0,0,0,0,0,0.0264107086192542,0,0,0,0,0,0,0,0.0690659871632993,0,0,0,0
0,0,0,0,0,0,0,0.0193660360210925,0,0,0,0.0239882600793465,0.00360370423155317,0,0,0.00823374906998741,0,0,0.00390980803322638,0.00877490739659441,0.0225394778046807,0,0.0724825145808796,0.0023997555485506,0,0,0,0,0,0.0131103274571854
0,0,0,0,0,0,0,0,0,0,0,0.0296181861357704,0.00446368599842924,0,0,0,0,0,0.00482568213410817,0.010714536221186,0.0278649242705517,0,0.0890458030975045,0.00296171769450556,0,0,0,0,0,0.0162065516031733
0.000118912272663374,0,0.325594591543033,0,0.000532715447820228,0,0,0,0.00666770736537585,0.000909752513597044,0.00026933003047573,0,0,0,0,0.00342208238301171,0,0.00743559637039646,0,0,0,0,0,0,0,0.0191329673812953,0.000811367766163281,0,0.254607853503437,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
